"dep_delay_lag","origin","dep_delay_mean"
27,"JFK",19.3069544364508
27,"LGA",16.3351955307263
28,"EWR",20.1751527494908
28,"JFK",18.8263157894737
28,"LGA",18.2584615384615
29,"EWR",20.2473572938689
29,"JFK",19.9618528610354
29,"LGA",17.8672839506173
30,"EWR",25.4988505747126
30,"JFK",21.8594594594595
30,"LGA",23.8259493670886
31,"EWR",22.5895691609977
31,"JFK",18.7774869109948
31,"LGA",19.6408450704225
32,"EWR",25.4190476190476
32,"JFK",23.5627009646302
32,"LGA",20.8339350180505
33,"EWR",23.7427184466019
33,"JFK",20.9943977591036
33,"LGA",20.3851851851852
34,"EWR",26.03125
34,"JFK",24.0732484076433
34,"LGA",20.0588235294118
35,"EWR",22.0304568527919
35,"JFK",24.5535055350554
35,"LGA",24.5704225352113
36,"EWR",25.7611111111111
36,"JFK",23.8854166666667
36,"LGA",21.5625
37,"EWR",28.9882697947214
37,"JFK",25.5352112676056
37,"LGA",23.9507389162562
38,"EWR",32.5681818181818
38,"JFK",24.7251908396947
38,"LGA",24.1196581196581
39,"EWR",23.3333333333333
39,"JFK",26.643153526971
39,"LGA",26.8611111111111
40,"EWR",29.4984984984985
40,"JFK",26.383064516129
40,"LGA",26.84140969163
41,"EWR",26.1948051948052
41,"JFK",24.1764705882353
41,"LGA",26.6330275229358
42,"EWR",28.8753894080997
42,"JFK",24.4885844748858
42,"LGA",23.8823529411765
43,"EWR",24.1651090342679
43,"JFK",28.7350427350427
43,"LGA",26.9269406392694
44,"EWR",34.3633540372671
44,"JFK",18.0776255707763
44,"LGA",26.8367346938776
45,"EWR",27.9007352941176
45,"JFK",27.3187772925764
45,"LGA",29.7846889952153
46,"EWR",27.9591078066914
46,"JFK",22.4861111111111
46,"LGA",24.8032786885246
47,"EWR",29.2034482758621
47,"JFK",25.8984771573604
47,"LGA",28.0118343195266
48,"EWR",38.1322957198444
48,"JFK",31.0098039215686
48,"LGA",26.5182926829268
49,"EWR",27.2595744680851
49,"JFK",28.3897435897436
49,"LGA",26.8238993710692
50,"EWR",31.0948905109489
50,"JFK",34.2572815533981
50,"LGA",29.2543352601156
51,"EWR",31.9296875
51,"JFK",27.755980861244
51,"LGA",39.1317365269461
52,"EWR",29.5933014354067
52,"JFK",24.1657754010695
52,"LGA",25.3355263157895
53,"EWR",24.0714285714286
53,"JFK",24.6432748538012
53,"LGA",27.3452380952381
54,"EWR",25.5117370892019
54,"JFK",28.8839779005525
54,"LGA",23.1515151515152
55,"EWR",30.9605263157895
55,"JFK",23.2138364779874
55,"LGA",24.4144736842105
56,"EWR",35.7777777777778
56,"JFK",27.5572916666667
56,"LGA",28.5673758865248
57,"EWR",38.7088607594937
57,"JFK",28.7573964497041
57,"LGA",35.2700729927007
58,"EWR",38.0803571428571
58,"JFK",26.7375
58,"LGA",29.0451127819549
59,"EWR",39.3545816733068
59,"JFK",34.2348993288591
59,"LGA",37.8029197080292
60,"EWR",29.6536585365854
60,"JFK",28.3714285714286
60,"LGA",33.0387596899225
61,"EWR",32.4854368932039
61,"JFK",30.7916666666667
61,"LGA",30.171875
62,"EWR",37.6989795918367
62,"JFK",30.8321167883212
62,"LGA",32.8931297709924
63,"EWR",35.2216216216216
63,"JFK",32.2748538011696
63,"LGA",40.7117117117117
64,"EWR",38.2722513089005
64,"JFK",33.2647058823529
64,"LGA",28.468253968254
65,"EWR",32.3296089385475
65,"JFK",30.8441558441558
65,"LGA",30.4424778761062
66,"EWR",39.5548780487805
66,"JFK",37.458904109589
66,"LGA",32.0091743119266
67,"EWR",35.888198757764
67,"JFK",40.6194029850746
67,"LGA",39.0294117647059
68,"EWR",36.6589595375723
68,"JFK",29.9375
68,"LGA",40.5338983050847
69,"EWR",38.5928143712575
69,"JFK",34.44
69,"LGA",42.2884615384615
70,"EWR",36.906976744186
70,"JFK",28.9865771812081
70,"LGA",31.6095238095238
71,"EWR",38.0827586206897
71,"JFK",28.7301587301587
71,"LGA",42.5566037735849
72,"EWR",45.741935483871
72,"JFK",38.2352941176471
72,"LGA",36.9047619047619
73,"EWR",42.4
73,"JFK",36.9541984732824
73,"LGA",36.5227272727273
74,"EWR",39.5298013245033
74,"JFK",25
74,"LGA",30.3953488372093
75,"EWR",42.3806818181818
75,"JFK",41.1980198019802
75,"LGA",39.1386138613861
76,"EWR",39.479674796748
76,"JFK",45.6116504854369
76,"LGA",38.3287671232877
77,"EWR",38.9842519685039
77,"JFK",27.59375
77,"LGA",29.8828828828829
78,"EWR",40.2714285714286
78,"JFK",25.9042553191489
78,"LGA",31.5172413793103
79,"EWR",39.0350877192982
79,"JFK",46.5128205128205
79,"LGA",33.6022727272727
80,"EWR",35.6785714285714
80,"JFK",35.2053571428571
80,"LGA",44.1149425287356
81,"EWR",42.3798449612403
81,"JFK",31.8686868686869
81,"LGA",33.7466666666667
82,"EWR",42.6827586206897
82,"JFK",31.3564356435644
82,"LGA",50.8831168831169
83,"EWR",37.8320610687023
83,"JFK",43.275
83,"LGA",54.6623376623377
84,"EWR",47.2093023255814
84,"JFK",40.8152173913044
84,"LGA",40.7051282051282
85,"EWR",48.5
85,"JFK",40.4757281553398
85,"LGA",51.8607594936709
86,"EWR",29.8434782608696
86,"JFK",38.020202020202
86,"LGA",57.1549295774648
87,"EWR",39.5588235294118
87,"JFK",47.65625
87,"LGA",46.1463414634146
88,"EWR",46.0578512396694
88,"JFK",50.6547619047619
88,"LGA",51.4415584415584
89,"EWR",47.5614035087719
89,"JFK",40.4197530864198
89,"LGA",48.1216216216216
90,"EWR",40.4126984126984
90,"JFK",43.6170212765957
90,"LGA",46.9411764705882
91,"EWR",42.6237623762376
91,"JFK",42.59375
91,"LGA",49.359375
92,"EWR",36.9913043478261
92,"JFK",42.4673913043478
92,"LGA",48.6
93,"EWR",45.7543859649123
93,"JFK",35.8356164383562
93,"LGA",43.2222222222222
94,"EWR",44.2843137254902
94,"JFK",50.1282051282051
94,"LGA",46.1590909090909
95,"EWR",39.462962962963
95,"JFK",38.2333333333333
95,"LGA",48.6344086021505
96,"EWR",53.0421052631579
96,"JFK",30.5972222222222
96,"LGA",52.4603174603175
97,"EWR",42.3423423423423
97,"JFK",37.3
97,"LGA",27.8135593220339
98,"EWR",45.8282828282828
98,"JFK",34.8194444444444
98,"LGA",32.8305084745763
99,"EWR",47.5208333333333
99,"JFK",31.6376811594203
99,"LGA",53.7627118644068
100,"EWR",50.4583333333333
100,"JFK",34.7428571428571
100,"LGA",51.6071428571429
101,"EWR",44.7
101,"JFK",41.2333333333333
101,"LGA",39.8076923076923
102,"EWR",51.986301369863
102,"JFK",31.3285714285714
102,"LGA",45.4375
103,"EWR",53.2638888888889
103,"JFK",42.6714285714286
103,"LGA",46
104,"EWR",56.9896907216495
104,"JFK",48.609375
104,"LGA",50.4864864864865
105,"EWR",52.4880952380952
105,"JFK",56.2285714285714
105,"LGA",48.9622641509434
106,"EWR",54.1645569620253
106,"JFK",47.5740740740741
106,"LGA",38.8363636363636
107,"EWR",64.2405063291139
107,"JFK",54.2413793103448
107,"LGA",54.6727272727273
108,"EWR",61.8571428571429
108,"JFK",48.2166666666667
108,"LGA",52.75
109,"EWR",35.1805555555556
109,"JFK",49.475
109,"LGA",33.2888888888889
110,"EWR",50.1777777777778
110,"JFK",47.0909090909091
110,"LGA",35.6904761904762
111,"EWR",44.7738095238095
111,"JFK",47.0576923076923
111,"LGA",44.7105263157895
112,"EWR",62.1714285714286
112,"JFK",39.35
112,"LGA",33.0555555555556
113,"EWR",55.741935483871
113,"JFK",57.6170212765957
113,"LGA",52.1041666666667
114,"EWR",52.367816091954
114,"JFK",35.4923076923077
114,"LGA",60.7380952380952
115,"EWR",55.6410256410256
115,"JFK",55.16
115,"LGA",63.025
116,"EWR",55.7301587301587
116,"JFK",35.0392156862745
116,"LGA",63
117,"EWR",57.2535211267606
117,"JFK",42.0384615384615
117,"LGA",80.4
118,"EWR",40.265306122449
118,"JFK",45.8363636363636
118,"LGA",61.9444444444444
119,"EWR",51.9464285714286
119,"JFK",53.7727272727273
119,"LGA",60.037037037037
120,"EWR",54.7761194029851
120,"JFK",40.1111111111111
120,"LGA",40.3023255813954
121,"EWR",52.984375
121,"JFK",44.2727272727273
121,"LGA",66.2826086956522
122,"EWR",59.3090909090909
122,"JFK",50.2156862745098
122,"LGA",70.1190476190476
123,"EWR",58.5283018867925
123,"JFK",48.9642857142857
123,"LGA",83.3333333333333
124,"EWR",51.3584905660377
124,"JFK",48.5116279069767
124,"LGA",59.5714285714286
125,"EWR",73.3134328358209
125,"JFK",62.734693877551
125,"LGA",55.7727272727273
126,"EWR",67.8571428571429
126,"JFK",40.8222222222222
126,"LGA",59
127,"EWR",54.8421052631579
127,"JFK",50.3181818181818
127,"LGA",48.08
128,"EWR",52
128,"JFK",53.7021276595745
128,"LGA",55.5833333333333
129,"EWR",50.0967741935484
129,"JFK",37.4888888888889
129,"LGA",45.6944444444444
130,"EWR",59.9375
130,"JFK",43.2368421052632
130,"LGA",73.8965517241379
131,"EWR",64.9268292682927
131,"JFK",31.7894736842105
131,"LGA",92.8620689655172
132,"EWR",69.859649122807
132,"JFK",42.5609756097561
132,"LGA",54.8888888888889
133,"EWR",43.3035714285714
133,"JFK",39.05
133,"LGA",58.7916666666667
134,"EWR",63.4615384615385
134,"JFK",52.2941176470588
134,"LGA",82.5454545454545
135,"EWR",61.5957446808511
135,"JFK",30.3589743589744
135,"LGA",71.3030303030303
136,"EWR",56.8648648648649
136,"JFK",68.25
136,"LGA",56.52
137,"EWR",57.3409090909091
137,"JFK",39.551724137931
137,"LGA",43.5675675675676
138,"EWR",37.5405405405405
138,"JFK",52.4473684210526
138,"LGA",94.8275862068966
139,"EWR",62.8
139,"JFK",64.4857142857143
139,"LGA",39.92
140,"EWR",64.0789473684211
140,"JFK",97.7037037037037
140,"LGA",69.8787878787879
141,"EWR",79.16
141,"JFK",55.5526315789474
141,"LGA",58.59375
142,"EWR",74.4
142,"JFK",50.2857142857143
142,"LGA",51.7666666666667
143,"EWR",71.3636363636364
143,"JFK",83.1935483870968
143,"LGA",62.8125
144,"EWR",54
144,"JFK",39.775
144,"LGA",75.375
145,"EWR",53.1111111111111
145,"JFK",53.7931034482759
145,"LGA",55.3181818181818
146,"EWR",76.1034482758621
146,"JFK",79.92
146,"LGA",44.2727272727273
147,"EWR",65.5
147,"JFK",43.64
147,"LGA",52.6206896551724
148,"EWR",53.2857142857143
148,"JFK",70.6060606060606
148,"LGA",68.9333333333333
149,"EWR",65
149,"JFK",81.2121212121212
149,"LGA",103.785714285714
150,"EWR",100.893617021277
150,"JFK",42.8965517241379
150,"LGA",81.5454545454545
151,"EWR",69.6938775510204
151,"JFK",39.5806451612903
151,"LGA",57.5238095238095
152,"EWR",53.8648648648649
152,"JFK",55.6666666666667
152,"LGA",86.08
153,"EWR",86.0294117647059
153,"JFK",43.6785714285714
153,"LGA",72.45
154,"EWR",52.7142857142857
154,"JFK",76.3448275862069
154,"LGA",108.555555555556
155,"EWR",68.1707317073171
155,"JFK",84.55
155,"LGA",84.2222222222222
156,"EWR",70.46875
156,"JFK",49.125
156,"LGA",92
157,"EWR",42.1724137931034
157,"JFK",74.7407407407407
157,"LGA",107.952380952381
158,"EWR",78.7857142857143
158,"JFK",55.3448275862069
158,"LGA",82.6666666666667
159,"EWR",45.75
159,"JFK",85.2608695652174
159,"LGA",57.2727272727273
160,"EWR",87.1136363636364
160,"JFK",74.375
160,"LGA",37.125
161,"EWR",59.2121212121212
161,"JFK",56.2
161,"LGA",78.4736842105263
162,"EWR",70.6333333333333
162,"JFK",51.32
162,"LGA",76.6363636363636
163,"EWR",59.9428571428571
163,"JFK",69.0666666666667
163,"LGA",87.304347826087
164,"EWR",44.2592592592593
164,"JFK",60.8421052631579
164,"LGA",76.0869565217391
165,"EWR",53.2258064516129
165,"JFK",60.695652173913
165,"LGA",91.5384615384615
166,"EWR",67.695652173913
166,"JFK",52.7333333333333
166,"LGA",82.7222222222222
167,"EWR",61.0526315789474
167,"JFK",66.6428571428571
167,"LGA",71.7916666666667
168,"EWR",50.5416666666667
168,"JFK",53.4444444444444
168,"LGA",84
169,"EWR",67.7777777777778
169,"JFK",74.3157894736842
169,"LGA",69.2352941176471
170,"EWR",94.4666666666667
170,"JFK",87.1851851851852
170,"LGA",85.9
171,"EWR",55.3703703703704
171,"JFK",69.8214285714286
171,"LGA",79.8518518518518
172,"EWR",87.1428571428571
172,"JFK",75.8571428571429
172,"LGA",103.444444444444
173,"EWR",96.4
173,"JFK",59.8333333333333
173,"LGA",92.9473684210526
174,"EWR",74.8666666666667
174,"JFK",35.0454545454545
174,"LGA",110.714285714286
175,"EWR",95.4705882352941
175,"JFK",82.15
175,"LGA",55.5
176,"EWR",80.5652173913043
176,"JFK",56.7647058823529
176,"LGA",77.5294117647059
177,"EWR",74.4285714285714
177,"JFK",43.4285714285714
177,"LGA",93.7647058823529
178,"EWR",86.1
178,"JFK",86
178,"LGA",99.0476190476191
179,"EWR",78.7777777777778
179,"JFK",84.875
179,"LGA",72.9
180,"EWR",107.409090909091
180,"JFK",78.6
180,"LGA",51.5714285714286
181,"EWR",83.9090909090909
181,"JFK",61.04
181,"LGA",75.2142857142857
182,"EWR",44.9285714285714
182,"JFK",64.95
182,"LGA",63.6666666666667
183,"EWR",76.0476190476191
183,"JFK",74.1875
183,"LGA",53.5714285714286
184,"EWR",67.6470588235294
184,"JFK",82.3333333333333
184,"LGA",77.6875
185,"EWR",92
185,"JFK",47.125
185,"LGA",86.1666666666667
186,"EWR",60.6470588235294
186,"JFK",52
186,"LGA",103
187,"EWR",56.7333333333333
187,"JFK",87.3846153846154
187,"LGA",198.909090909091
188,"EWR",76.4583333333333
188,"JFK",56.4166666666667
188,"LGA",69.1111111111111
189,"EWR",61.4
189,"JFK",52
189,"LGA",107.222222222222
190,"EWR",64.6538461538462
190,"JFK",47.1875
190,"LGA",64.2777777777778
191,"EWR",88.875
191,"JFK",41.8888888888889
191,"LGA",105.25
192,"EWR",82.0909090909091
192,"JFK",77
192,"LGA",131.214285714286
193,"EWR",91.6470588235294
193,"JFK",69.7
193,"LGA",79.8333333333333
194,"EWR",82.1052631578947
194,"JFK",47.6875
194,"LGA",110.5
195,"EWR",107.75
195,"JFK",64.9166666666667
195,"LGA",78.8235294117647
196,"EWR",56.2105263157895
196,"JFK",54.9090909090909
196,"LGA",155
197,"EWR",113.2
197,"JFK",60.7142857142857
197,"LGA",92.875
198,"EWR",95.7058823529412
198,"JFK",43.7777777777778
198,"LGA",101.214285714286
199,"EWR",110.411764705882
199,"JFK",85.2857142857143
199,"LGA",60.75
200,"EWR",90.8125
200,"JFK",80.7647058823529
200,"LGA",88.0769230769231
201,"EWR",121.25
201,"JFK",42.7333333333333
201,"LGA",57.3333333333333
202,"EWR",59.4
202,"JFK",12.3333333333333
202,"LGA",46.125
203,"EWR",73.5882352941177
203,"JFK",74
203,"LGA",67.1818181818182
204,"EWR",99.1875
204,"JFK",79.6
204,"LGA",102.818181818182
205,"EWR",85.3529411764706
205,"JFK",74.9
205,"LGA",83.5555555555556
206,"EWR",97.3333333333333
206,"JFK",134.571428571429
206,"LGA",90.2857142857143
207,"EWR",103.692307692308
207,"JFK",67.4285714285714
207,"LGA",126.6
208,"EWR",76.2631578947368
208,"JFK",64.4444444444444
208,"LGA",47.4
209,"EWR",108.411764705882
209,"JFK",64.0625
209,"LGA",101
210,"EWR",74.5833333333333
210,"JFK",95
210,"LGA",133.142857142857
211,"EWR",57.2727272727273
211,"JFK",51.6666666666667
211,"LGA",69.2727272727273
212,"EWR",139.833333333333
212,"JFK",66.4
212,"LGA",86.2307692307692
213,"EWR",59.0833333333333
213,"JFK",64.9230769230769
213,"LGA",147
214,"EWR",98.1538461538462
214,"JFK",57.6
214,"LGA",77.1428571428571
215,"EWR",51.6
215,"JFK",56.9
215,"LGA",137.363636363636
216,"EWR",85.9375
216,"JFK",77
216,"LGA",106.8
217,"EWR",85.25
217,"JFK",39.1
217,"LGA",164
218,"EWR",82.8461538461538
218,"JFK",69.6153846153846
218,"LGA",117.9
219,"EWR",93.125
219,"JFK",39.1111111111111
219,"LGA",133.444444444444
220,"EWR",106.583333333333
220,"JFK",44.1666666666667
220,"LGA",39.8333333333333
221,"EWR",75.6363636363636
221,"JFK",58.875
221,"LGA",54.4705882352941
222,"EWR",76.8695652173913
222,"JFK",112.666666666667
222,"LGA",92
223,"EWR",77.1
223,"JFK",54.75
223,"LGA",101.125
224,"EWR",103
224,"JFK",96.2222222222222
224,"LGA",197
225,"EWR",98.3333333333333
225,"JFK",89
225,"LGA",116.6
226,"EWR",147.2
226,"JFK",173.4
226,"LGA",100
227,"EWR",136.6
227,"JFK",53
227,"LGA",113.666666666667
228,"EWR",77
228,"JFK",119.6
228,"LGA",65.2
229,"EWR",103
229,"JFK",44
229,"LGA",105.888888888889
230,"EWR",162.416666666667
230,"JFK",133.4
230,"LGA",121.75
231,"EWR",126.4
231,"JFK",81.5
231,"LGA",50.125
232,"EWR",142.615384615385
232,"JFK",118
232,"LGA",101.571428571429
233,"EWR",54.1111111111111
233,"JFK",44.4
233,"LGA",68.8461538461538
234,"EWR",47.375
234,"JFK",92
234,"LGA",22.25
235,"EWR",58.0666666666667
235,"JFK",118.111111111111
235,"LGA",128.714285714286
236,"EWR",100.285714285714
236,"JFK",107
236,"LGA",37.7777777777778
237,"EWR",117.333333333333
237,"JFK",34.8
237,"LGA",102.111111111111
238,"EWR",162.4
238,"JFK",76.5454545454545
238,"LGA",59.8
239,"EWR",81.3333333333333
239,"JFK",80.8
239,"LGA",48.5
240,"EWR",143.625
240,"JFK",95.6
240,"LGA",83
241,"EWR",132.666666666667
241,"JFK",141.125
241,"LGA",49.75
242,"EWR",54.25
242,"JFK",121.636363636364
242,"LGA",59
243,"EWR",91.0909090909091
243,"JFK",51.6363636363636
243,"LGA",176.75
244,"EWR",91.375
244,"JFK",37.8
244,"LGA",138.8
245,"EWR",174.333333333333
245,"JFK",65.3571428571429
245,"LGA",100.1
246,"EWR",77.2857142857143
246,"JFK",109.714285714286
246,"LGA",103
247,"EWR",57.8571428571429
247,"JFK",132.857142857143
247,"LGA",149.5
248,"EWR",94.4444444444444
248,"JFK",72.6666666666667
248,"LGA",135.571428571429
249,"EWR",84
249,"JFK",98
249,"LGA",59
250,"EWR",143
250,"JFK",19.5
250,"LGA",107
251,"EWR",132.3
251,"JFK",73.5
251,"LGA",92.25
252,"EWR",30
252,"JFK",5
252,"LGA",123.2
253,"EWR",120.4
253,"JFK",49.6
253,"LGA",159.714285714286
254,"EWR",71.1666666666667
254,"JFK",111.666666666667
254,"LGA",244.5
255,"EWR",57.8571428571429
255,"JFK",61
255,"LGA",103.5
256,"EWR",57.875
256,"JFK",57
256,"LGA",98.5714285714286
257,"EWR",96
257,"JFK",97.8
257,"LGA",140.5
258,"EWR",142.666666666667
258,"JFK",86.5
258,"LGA",125
259,"EWR",114.2
259,"JFK",38.25
259,"LGA",137.666666666667
260,"EWR",59
260,"JFK",85.875
260,"LGA",134.5
261,"EWR",178
261,"JFK",51
261,"LGA",67
262,"EWR",59.5
262,"JFK",15.6666666666667
262,"LGA",112.8
263,"EWR",74.3333333333333
263,"JFK",26.5
263,"LGA",171
264,"EWR",133.714285714286
264,"JFK",270
264,"LGA",41.5
265,"EWR",40.4
265,"JFK",68
265,"LGA",33.8
266,"EWR",55.7142857142857
266,"JFK",21.5
266,"LGA",120.666666666667
267,"EWR",142.5
267,"LGA",33.6666666666667
268,"EWR",101.666666666667
268,"JFK",138.125
268,"LGA",77.6666666666667
269,"EWR",26
269,"JFK",147
269,"LGA",230
270,"EWR",76.2
270,"JFK",3.28571428571429
270,"LGA",3.5
271,"EWR",101.090909090909
271,"JFK",38
271,"LGA",130.428571428571
272,"EWR",122.833333333333
272,"JFK",71.25
272,"LGA",118
273,"EWR",193
273,"JFK",-2
273,"LGA",106.222222222222
274,"EWR",152.166666666667
274,"JFK",149.5
274,"LGA",29.2
275,"EWR",158.5
275,"JFK",80.25
275,"LGA",150.25
276,"EWR",169
276,"JFK",3
276,"LGA",117
277,"EWR",109.375
277,"JFK",100
277,"LGA",108.5
278,"EWR",182
278,"JFK",15
278,"LGA",81.5
279,"EWR",108.666666666667
279,"JFK",60
279,"LGA",53.8
280,"EWR",90.25
280,"JFK",146
280,"LGA",189.2
281,"EWR",91
281,"JFK",124.142857142857
281,"LGA",68.8
282,"EWR",79.375
282,"JFK",216
282,"LGA",103.75
283,"EWR",80.8
283,"JFK",90.6666666666667
284,"EWR",84
284,"JFK",94.6
284,"LGA",240.25
285,"EWR",98.3333333333333
285,"JFK",113.666666666667
285,"LGA",96.5
286,"EWR",73.1666666666667
286,"JFK",62.8
286,"LGA",198.333333333333
287,"EWR",119.666666666667
287,"JFK",125.333333333333
287,"LGA",244
288,"EWR",84.6
288,"JFK",50.3333333333333
288,"LGA",300
289,"EWR",94
289,"JFK",0
289,"LGA",63.5
290,"EWR",55.7777777777778
290,"JFK",153.333333333333
290,"LGA",164.166666666667
291,"EWR",115.3
291,"JFK",107.333333333333
291,"LGA",60.6
292,"EWR",110.666666666667
292,"JFK",78.8
292,"LGA",176.5
293,"EWR",99.5
293,"JFK",12.3333333333333
293,"LGA",108.666666666667
294,"EWR",128.5
294,"JFK",84.25
294,"LGA",112
295,"EWR",49.6
295,"JFK",-5
295,"LGA",-4
296,"EWR",17
296,"JFK",60
296,"LGA",3.33333333333333
297,"EWR",110
297,"JFK",150.333333333333
297,"LGA",84.3333333333333
298,"EWR",117
298,"JFK",217
298,"LGA",-3
299,"EWR",143
299,"JFK",42
299,"LGA",196
300,"LGA",224
301,"EWR",-9
301,"JFK",41.5
301,"LGA",197.5
302,"EWR",127.166666666667
302,"LGA",132.25
303,"EWR",186.5
303,"JFK",112.5
303,"LGA",100
304,"EWR",267.5
304,"JFK",124
304,"LGA",134.666666666667
305,"EWR",80.3333333333333
305,"JFK",29
306,"EWR",34.6666666666667
306,"JFK",57
306,"LGA",245
307,"EWR",86.25
307,"JFK",86
307,"LGA",4.33333333333333
308,"JFK",37.5
308,"LGA",205.5
309,"EWR",118
309,"JFK",77.5
309,"LGA",114.6
310,"EWR",46.4
310,"LGA",-10
311,"EWR",-2
311,"LGA",89
312,"EWR",102.25
312,"JFK",125
312,"LGA",199.5
313,"EWR",36.3333333333333
313,"JFK",63
313,"LGA",88
314,"EWR",155.5
314,"JFK",0
314,"LGA",107.5
315,"JFK",53.6
315,"LGA",33
316,"EWR",139.142857142857
316,"JFK",374
316,"LGA",104.75
317,"EWR",18.3333333333333
317,"JFK",-5
317,"LGA",201.333333333333
318,"EWR",26
318,"LGA",25.6666666666667
319,"EWR",-5
319,"JFK",82.2
319,"LGA",103.666666666667
320,"EWR",9.33333333333333
320,"JFK",158
320,"LGA",129.5
321,"EWR",116.5
321,"JFK",43.5
321,"LGA",152
322,"EWR",79
322,"JFK",42.5
322,"LGA",48
