"DM","May22_2012","no_SEM","log_revenue"
"569",0,0,9.51714194650467
"570",0,0,10.7387653782984
"571",0,0,11.4353028440627
"573",0,0,11.2445528759871
"574",0,0,11.0511510451927
"575",0,0,11.1422413059112
"576",0,1,10.2779205810315
"577",0,1,11.8308151579551
"581",0,1,10.314309604004
"582",0,0,9.59565002205266
"583",0,0,8.08764484417324
"584",0,0,9.48790503655458
"588",0,0,11.1621747125394
"592",0,0,10.2055469215471
"596",0,1,8.70531830378182
"597",0,0,9.50524504611825
"598",0,0,10.0593668380339
"600",0,0,10.5400250350235
"602",0,0,13.5885841915684
"603",0,0,10.2436567228664
"604",0,0,10.380712781978
"605",0,0,10.4555288460308
"606",0,1,9.76581398886292
"609",0,1,12.2718515392721
"610",0,0,10.5994589981521
"611",0,1,10.242260672601
"612",0,0,11.0741787800977
"613",0,1,12.7745816326814
"616",0,0,12.059159220507
"617",0,1,12.0412757990977
"618",0,0,13.1313378201944
"619",0,0,11.3289862086979
"622",0,1,11.760067041599
"623",0,0,13.189130325988
"624",0,1,10.3276444949082
"625",0,0,11.0637797777326
"626",0,0,8.69991020963942
"627",0,1,10.3594735541595
"628",0,0,10.2828787489448
"630",0,0,11.7262718037899
"631",0,0,9.24136741940167
"632",0,0,11.1794485591067
"633",0,0,10.5468091659699
"634",0,0,10.6442218576559
"635",0,1,12.0482922671571
"636",0,0,11.3180892891072
"637",0,0,11.0974814936792
"638",0,0,9.21741529581813
"639",0,0,9.36308084413748
"640",0,0,11.6727956617564
"641",0,0,12.0710914696463
"642",0,0,10.7102349537659
"643",0,0,9.89737869277882
"644",0,1,9.65528763727395
"647",0,0,9.26705664537779
"648",0,0,11.1802919447078
"649",0,0,10.8646027828484
"650",0,0,11.8390461863895
"651",0,0,10.2515036097113
"652",0,0,11.2761077820444
"656",0,1,10.2893722741985
"657",0,0,10.0434822049645
"658",0,0,11.3061690582363
"659",0,0,12.2364533278788
"661",0,0,9.1194335965876
"662",0,0,9.8542828147116
"669",0,0,11.1470665200068
"670",0,0,10.8905481292872
"671",0,1,11.4885052322281
"673",0,1,10.2811507446614
"675",0,0,10.8713636590518
"676",0,1,10.5385944230468
"678",0,1,11.4989462226352
"679",0,1,11.2824013278963
"682",0,0,11.0311614392182
"686",0,1,11.5433275456129
"687",0,1,10.7465872604344
"691",0,1,11.23807821023
"692",0,1,10.3086579498865
"693",0,1,11.4745293780742
"698",0,0,10.5761665899962
"702",0,0,10.5429538151326
"705",0,1,10.4272129363432
"709",0,0,10.7660617023237
"710",0,1,9.70350352510076
"711",0,1,9.10142216211914
"716",0,0,11.0477105777245
"717",0,0,10.0505964458481
"718",0,0,10.8680912174649
"722",0,0,10.9786848192315
"724",0,0,10.9356802412034
"725",0,0,10.8723846358767
"734",0,1,9.7041736000898
"736",0,0,9.75457086356096
"737",0,1,9.30646192314682
"740",0,0,7.99104159440284
"743",0,1,10.5803714109984
"744",0,1,11.745703855683
"745",0,1,9.1876220987658
"746",0,0,10.0298985322888
"747",0,1,8.97231103353195
"749",0,1,10.4018589960283
"751",0,1,12.700749474657
"752",0,0,11.125904746528
"753",0,0,12.7584165539965
"754",0,0,9.6671738673172
"755",0,1,9.5194653516168
"756",0,0,10.1584852415292
"757",0,1,10.7810142955614
"758",0,1,10.2822381583314
"759",0,1,9.3392788919161
"760",0,0,9.51218639531843
"762",0,0,10.1799310108991
"764",0,0,10.0353279683716
"765",0,0,11.2933883706868
"766",0,0,8.56115222548943
"767",0,0,9.51212471825036
"770",0,0,12.2658785736711
"771",0,0,10.5531640423824
"773",0,0,9.52970805257056
"789",0,0,11.4684347845306
"790",0,0,11.7940977071659
"798",0,0,7.10358408640233
"800",0,0,10.7084801539172
"801",0,1,10.7039611127441
"802",0,1,9.60644142638845
"803",0,0,14.3624182640858
"804",0,0,10.3051288282128
"807",0,0,13.5663479900937
"810",0,0,10.7460575084843
"811",0,1,10.8944585022376
"813",0,1,10.4678229308416
"819",0,0,13.0272222562517
"820",0,0,12.4479548738484
"821",0,0,9.46912718940283
"825",0,0,12.6478649132948
"828",0,0,11.0961864664263
"839",0,0,11.9680784305276
"855",0,0,11.077559788272
"862",0,0,12.6411561563926
"866",0,1,11.6322867745889
"868",0,0,10.5684863233744
"881",0,0,11.4446796271787
"500",1,1,11.1761742498513
"501",1,0,14.561342838299
"502",1,0,10.2857217699784
"503",1,0,10.5065967475549
"504",1,0,13.3591181057525
"505",1,1,12.7529100419641
"506",1,0,13.1955382225913
"507",1,0,10.9579706413613
"508",1,0,12.2596119842437
"509",1,0,10.8682725832649
"510",1,0,12.5786815012214
"511",1,1,13.3051563188587
"512",1,0,12.3918397930333
"513",1,1,11.2233668638347
"514",1,0,11.7815825009784
"515",1,0,11.9419636615864
"516",1,0,10.3857409375632
"517",1,1,12.2380708643786
"518",1,0,11.6661617937852
"519",1,0,10.9950240022264
"520",1,0,10.6460807654272
"521",1,1,11.6984784706522
"522",1,0,10.4250414266198
"523",1,0,11.202456981616
"524",1,0,13.0590358007886
"525",1,1,9.85042296923669
"526",1,0,10.0304186554054
"527",1,0,12.136565972411
"528",1,1,13.5816583768138
"529",1,0,11.7134294575887
"530",1,0,10.637859070601
"531",1,0,10.9304910014277
"532",1,0,11.6048523666574
"533",1,0,12.3117728672115
"534",1,1,12.7215956308583
"535",1,0,11.9754079595911
"536",1,1,10.7187981574468
"537",1,0,10.1760996362642
"538",1,0,11.3370235513547
"539",1,0,12.8665814580658
"540",1,0,10.7217406678008
"541",1,0,11.3551329267375
"542",1,1,11.3791739810308
"543",1,0,10.8873698230398
"544",1,1,11.7780092012155
"545",1,1,10.7833739094058
"546",1,1,11.038256592199
"547",1,1,11.2110952300996
"548",1,1,12.0950868832492
"549",1,0,9.98377014522344
"550",1,1,10.3804504541064
"551",1,0,10.7874075634687
"552",1,0,8.79167901491579
"553",1,0,9.76350886289352
"554",1,0,10.2376901867604
"555",1,0,11.2965969426072
"556",1,1,11.5216413156586
"557",1,1,11.4602580534769
"558",1,0,8.67979073901045
"559",1,0,10.1055744599246
"560",1,0,12.1748689593428
"561",1,1,11.7231958828851
"563",1,1,11.7475281858575
"564",1,0,11.4273859160544
"565",1,1,9.92358595887322
"566",1,1,11.8488589590114
"567",1,0,11.9178503615908
"569",1,0,9.46959797212559
"570",1,0,10.6892482051323
"571",1,0,11.4141093055426
"573",1,0,11.1996807884262
"574",1,0,10.9965200870951
"575",1,0,11.1435294364364
"576",1,1,10.3076380109645
"577",1,1,11.7613669426478
"581",1,1,10.2722064793357
"582",1,0,9.513298912431
"583",1,0,7.91323592283336
"584",1,0,9.44613973383392
"588",1,0,11.1040827587247
"592",1,0,10.211415899078
"596",1,1,8.60162077225307
"597",1,0,9.41335491661179
"598",1,0,9.98836803994748
"600",1,0,10.5121828508177
"602",1,0,13.5195926868442
"603",1,0,10.1545057852687
"604",1,0,10.3583695942089
"605",1,0,10.4364052725962
"606",1,1,9.70577842062742
"609",1,1,12.2455716233111
"610",1,0,10.4933731401036
"611",1,1,10.1405976293021
"612",1,0,11.0561103851107
"613",1,1,12.6935712474093
"616",1,0,12.048628700475
"617",1,1,11.9503593339753
"618",1,0,13.1385361912104
"619",1,0,11.3132915139845
"622",1,1,11.7724070278015
"623",1,0,13.1988329044557
"624",1,1,10.2513516890601
"625",1,0,11.026901170539
"626",1,0,8.63975567662141
"627",1,1,10.3118667534197
"628",1,0,10.2734017918625
"630",1,0,11.7188650832135
"631",1,0,9.16492174787092
"632",1,0,11.1129839342788
"633",1,0,10.4829472980966
"634",1,0,10.6031791709008
"635",1,1,11.9792138946288
"636",1,0,11.3126015155867
"637",1,0,11.0489448455082
"638",1,0,9.19346335733547
"639",1,0,9.37184292154382
"640",1,0,11.6683534435456
"641",1,0,12.0485570652597
"642",1,0,10.7276243870777
"643",1,0,9.87928965097951
"644",1,1,9.63078534412925
"647",1,0,9.18828120307129
"648",1,0,11.15225430795
"649",1,0,10.8357166534884
"650",1,0,11.7997533039526
"651",1,0,10.2942569699461
"652",1,0,11.2511256118087
"656",1,1,10.2331912334422
"657",1,0,10.0009280331542
"658",1,0,11.2261359551825
"659",1,0,12.2234621623628
"661",1,0,9.11064158777838
"662",1,0,9.8732682195569
"669",1,0,11.0882028786304
"670",1,0,10.8607424541564
"671",1,1,11.4430116468726
"673",1,1,10.2410037491356
"675",1,0,10.8315008730728
"676",1,1,10.4683747768031
"678",1,1,11.4497614959271
"679",1,1,11.2009420452037
"682",1,0,10.9769696861925
"686",1,1,11.5472628782912
"687",1,1,10.6367909566636
"691",1,1,11.2199573863999
"692",1,1,10.2935336231668
"693",1,1,11.458755192443
"698",1,0,10.5404241015077
"702",1,0,10.5050159792817
"705",1,1,10.3791582691173
"709",1,0,10.7342428219539
"710",1,1,9.7270374910629
"711",1,1,9.14265048009611
"716",1,0,11.0601438329204
"717",1,0,9.9599059353091
"718",1,0,10.8383186569944
"722",1,0,10.9159328887846
"724",1,0,10.8846977846858
"725",1,0,10.8323780721424
"734",1,1,9.6875046185034
"736",1,0,9.71022804290596
"737",1,1,9.20533175285888
"740",1,0,7.9267336675607
"743",1,1,10.5258917294303
"744",1,1,11.6863360342572
"745",1,1,9.14608652794149
"746",1,0,10.06593239201
"747",1,1,8.9937294070567
"749",1,1,10.4238196680678
"751",1,1,12.6378754221068
"752",1,0,11.0747413540634
"753",1,0,12.705457361427
"754",1,0,9.58612055868617
"755",1,1,9.46721414409361
"756",1,0,10.070385187333
"757",1,1,10.7304773750015
"758",1,1,10.2074111886399
"759",1,1,9.36537966059825
"760",1,0,9.41935910605467
"762",1,0,10.1630490759982
"764",1,0,10.008752650101
"765",1,0,11.2627718386173
"766",1,0,8.52961175587658
"767",1,0,9.40498479130628
"770",1,0,12.2413582192751
"771",1,0,10.5409805821003
"773",1,0,9.48331541429861
"789",1,0,11.4395405454805
"790",1,0,11.7592899753221
"798",1,0,7.05745323503756
"800",1,0,10.7245251565878
"801",1,1,10.6893520297487
"802",1,1,9.53686454968966
"803",1,0,14.3348451200507
"804",1,0,10.2291283834301
"807",1,0,13.5738343833061
"810",1,0,10.7211356366532
"811",1,1,10.8592249406107
"813",1,1,10.3842812938818
"819",1,0,13.0306226786061
"820",1,0,12.4319076739612
"821",1,0,9.43000218253527
"825",1,0,12.6217203184463
"828",1,0,11.0663347602609
"839",1,0,11.9738399629374
"855",1,0,11.0775167808065
"862",1,0,12.6142296372508
"866",1,1,11.5686356917436
"868",1,0,10.5032436642247
"881",1,0,11.4210449009165
